Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dwarf,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten,Species_Turtle
2025-07-22,70,62.0,0.0,8.87,27.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-22,70,62.0,0.0,7.17,8.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-22,70,62.0,0.0,6.67,49.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,4.5,44.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,3.63,51.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,3.03,15.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,3.0,70.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,2.37,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-07-22,70,62.0,0.0,2.37,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-07-22,70,62.0,0.0,2.37,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-07-22,70,62.0,0.0,2.27,14.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-22,70,62.0,0.0,1.97,45.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,1.87,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-22,70,62.0,0.0,1.87,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-07-22,70,62.0,0.0,1.87,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-22,70,62.0,0.0,1.87,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-07-22,70,62.0,0.0,1.83,17.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,1.63,73.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-07-22,70,62.0,0.0,1.6,54.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
