Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-07-07,68,67.0,0.0,8.6,8.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-07,68,67.0,0.0,8.37,26.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-07,68,67.0,0.0,6.67,8.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-07,68,67.0,0.0,6.17,49.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,4.0,43.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,3.13,51.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,2.73,11.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-07,68,67.0,0.0,2.73,11.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-07,68,67.0,0.0,2.63,62.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,2.53,15.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,2.5,70.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,2.03,99.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,1.93,25.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-07,68,67.0,0.0,1.87,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-07,68,67.0,0.0,1.87,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-07,68,67.0,0.0,1.87,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-07,68,67.0,0.0,1.87,121.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
