Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-18,82,43.0,0.0,12.83,31.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,11.13,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,7.7,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,7.7,16.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,7.7,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,7.7,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,7.4,7.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,5.1,8.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,4.1,77.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,4.03,39.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,3.93,6.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,3.93,6.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-18,82,43.0,0.0,3.13,8.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-11-18,82,43.0,0.0,2.97,5.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,2.63,28.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,2.57,3.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,2.57,98.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,2.57,3.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,2.53,3.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,2.53,3.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,2.5,12.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-18,82,43.0,0.0,2.1,68.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-18,82,43.0,0.0,1.93,2.5,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,1.87,49.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,1.83,37.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,1.8,25.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-18,82,43.0,0.0,1.77,3.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,1.77,2.75,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,1.77,2.75,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-18,82,43.0,0.0,1.73,61.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-18,82,43.0,0.0,1.73,37.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
