Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten
2025-07-19,62,61.0,0.0,8.77,27.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,7.07,8.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,6.57,49.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,4.4,44.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,3.53,51.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,2.93,15.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,2.9,70.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,2.33,26.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,2.27,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,2.27,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,2.27,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.87,45.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.77,2.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.77,2.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.77,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,1.77,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,1.73,17.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.53,73.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.5,54.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.4,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.4,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.4,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,1.33,73.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.27,73.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,1.23,30.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.77,36.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.73,24.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.73,2.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.6,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.6,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.6,36.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.6,27.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.6,15.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.53,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,0.53,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-07-19,62,61.0,0.0,0.5,120.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.47,12.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.47,36.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.47,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.4,3.5,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.33,10.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.33,24.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.3,12.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.3,48.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.3,6.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.3,36.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.27,12.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-07-19,62,61.0,0.0,0.27,12.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.23,30.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.23,24.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.2,3.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.2,14.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.2,18.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.17,25.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.13,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.13,24.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-07-19,62,61.0,0.0,0.13,122.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-07-19,62,61.0,0.0,0.1,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.1,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-07-19,62,61.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
